"";"";"";"";"";"";"";"Welchem Geschlecht fühlen Sie sich am ehesten zugehörig?";"In welchem Jahr sind Sie geboren?";"Was ist Ihr höchster Abschluss?";"In welchem Bundesland wohnen Sie?";"Welche der folgenden Bundesregelungen zur Corona-Notbremse sind Ihnen bekannt?";"Welche der folgenden Bundesregelungen zur Corona-Notbremse sind Ihnen bekannt?";"Welche der folgenden Bundesregelungen zur Corona-Notbremse sind Ihnen bekannt?";"Welche der folgenden Bundesregelungen zur Corona-Notbremse sind Ihnen bekannt?";"Welche der folgenden Bundesregelungen zur Corona-Notbremse sind Ihnen bekannt?";"Welche der folgenden Bundesregelungen zur Corona-Notbremse sind Ihnen bekannt?";"Welche der folgenden Bundesregelungen zur Corona-Notbremse sind Ihnen bekannt?";"Welche der folgenden Bundesregelungen zur Corona-Notbremse sind Ihnen bekannt?";"Welche der folgenden Bundesregelungen zur Corona-Notbremse sind Ihnen bekannt?";"Welche der folgenden Bundesregelungen zur Corona-Notbremse sind Ihnen bekannt?";"Welche der folgenden Bundesregelungen zur Corona-Notbremse sind Ihnen bekannt?";"Welche der folgenden Bundesregelungen zur Corona-Notbremse sind Ihnen bekannt?";"Als wie effektiv schätzen Sie die Regelungen ein?";"Als wie effektiv schätzen Sie die Regelungen ein?";"Als wie effektiv schätzen Sie die Regelungen ein?";"Als wie effektiv schätzen Sie die Regelungen ein?";"Als wie effektiv schätzen Sie die Regelungen ein?";"Als wie effektiv schätzen Sie die Regelungen ein?";"Als wie effektiv schätzen Sie die Regelungen ein?";"Als wie effektiv schätzen Sie die Regelungen ein?";"Als wie effektiv schätzen Sie die Regelungen ein?";"Als wie effektiv schätzen Sie die Regelungen ein?";"Als wie effektiv schätzen Sie die Regelungen ein?";"Als wie effektiv schätzen Sie die Regelungen ein?";"Inwieweit empfinden Sie die Regelungen als angemessen?";"Inwieweit empfinden Sie die Regelungen als angemessen?";"Inwieweit empfinden Sie die Regelungen als angemessen?";"Inwieweit empfinden Sie die Regelungen als angemessen?";"Inwieweit empfinden Sie die Regelungen als angemessen?";"Inwieweit empfinden Sie die Regelungen als angemessen?";"Inwieweit empfinden Sie die Regelungen als angemessen?";"Inwieweit empfinden Sie die Regelungen als angemessen?";"Inwieweit empfinden Sie die Regelungen als angemessen?";"Inwieweit empfinden Sie die Regelungen als angemessen?";"Inwieweit empfinden Sie die Regelungen als angemessen?";"Inwieweit empfinden Sie die Regelungen als angemessen?";"Geben Sie an, inwieweit Sie sich an die von Ihnen als nicht nachvollziehbar eingestuften Regelungen halten.";"Geben Sie an, inwieweit Sie sich an die von Ihnen als nicht nachvollziehbar eingestuften Regelungen halten.";"Geben Sie an, inwieweit Sie sich an die von Ihnen als nicht nachvollziehbar eingestuften Regelungen halten.";"Geben Sie an, inwieweit Sie sich an die von Ihnen als nicht nachvollziehbar eingestuften Regelungen halten.";"Geben Sie an, inwieweit Sie sich an die von Ihnen als nicht nachvollziehbar eingestuften Regelungen halten.";"Geben Sie an, inwieweit Sie sich an die von Ihnen als nicht nachvollziehbar eingestuften Regelungen halten.";"Geben Sie an, inwieweit Sie sich an die von Ihnen als nicht nachvollziehbar eingestuften Regelungen halten.";"Geben Sie an, inwieweit Sie sich an die von Ihnen als nicht nachvollziehbar eingestuften Regelungen halten.";"Geben Sie an, inwieweit Sie sich an die von Ihnen als nicht nachvollziehbar eingestuften Regelungen halten.";"Geben Sie an, inwieweit Sie sich an die von Ihnen als nicht nachvollziehbar eingestuften Regelungen halten.";"Ich halte mich selten bzw. nie an die ausgewählten Maßnahmen, weil...";"Ich halte mich selten bzw. nie an die ausgewählten Maßnahmen, weil...";"Ich halte mich selten bzw. nie an die ausgewählten Maßnahmen, weil...";"Ich halte mich selten bzw. nie an die ausgewählten Maßnahmen, weil...";"Ich halte mich selten bzw. nie an die ausgewählten Maßnahmen, weil...";"Ich halte mich selten bzw. nie an die ausgewählten Maßnahmen, weil...";"Ich halte mich selten bzw. nie an die ausgewählten Maßnahmen, weil...";"Ich halte mich selten bzw. nie an die ausgewählten Maßnahmen, weil...";"Ich halte mich selten bzw. nie an die ausgewählten Maßnahmen, weil...";"Ich halte mich selten bzw. nie an die ausgewählten Maßnahmen, weil...";"Ich halte mich selten bzw. nie an die ausgewählten Maßnahmen, weil...";"Bitte wählen Sie den Emoji aus, der Ihre aktuelle Gemütslage am ehesten widerspiegelt.";"Bitten geben Sie an, inwieweit die folgenden Aussagen in Anbetracht der derzeitigen Lage auf Sie zutreffen.";"Bitten geben Sie an, inwieweit die folgenden Aussagen in Anbetracht der derzeitigen Lage auf Sie zutreffen.";"Bitten geben Sie an, inwieweit die folgenden Aussagen in Anbetracht der derzeitigen Lage auf Sie zutreffen.";"Bitten geben Sie an, inwieweit die folgenden Aussagen in Anbetracht der derzeitigen Lage auf Sie zutreffen.";"Bitten geben Sie an, inwieweit die folgenden Aussagen in Anbetracht der derzeitigen Lage auf Sie zutreffen.";"Bitten geben Sie an, inwieweit die folgenden Aussagen in Anbetracht der derzeitigen Lage auf Sie zutreffen.";"Bitten geben Sie an, inwieweit die folgenden Aussagen in Anbetracht der derzeitigen Lage auf Sie zutreffen.";"Haben Sie sich bereits mit dem COVID-19-Virus infiziert?";"Wurden Sie gegen das COVID-19-Virus geimpft?";"Bitte geben Sie an, inwieweit Sie den folgenden Aussagen zustimmen.";"Bitte geben Sie an, inwieweit Sie den folgenden Aussagen zustimmen.";"Bitte geben Sie an, inwieweit Sie den folgenden Aussagen zustimmen.";"Bitte geben Sie an, inwieweit Sie den folgenden Aussagen zustimmen.";"Wie zufrieden waren Sie insgesamt mit der Corona-Politik?";"Hat die Bundesregierung Ihrer Meinung nach mit den Regelungen zur Bundesnotbremse und den damit verbundenen Maßnahmen richtig gehandelt?";"Welches Vorgehen befürworten Sie anstelle der Notbremse?";"Welches Vorgehen befürworten Sie anstelle der Notbremse?";"Hier ist Platz für Ihre Anmerkungen und Fragen.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"number";"external lfdn";"tester";"disposition code";"last page";"quality";"time to complete survey";"Geschlecht";"Geburtsjahr";"Höchster Abschluss";"Bundesland";"Ein Haushalt trifft sich mit max. einer weiteren Person.";"Zwischen 22 und 5 Uhr herrscht eine Ausgangssperre.";"Individualsport darf auch noch bis 24 Uhr ausgeübt werden.";"Sobald die Inzidenz an drei aufeinanderfolgenden Tagen über 165 steigt, findet der Schulunterricht zu Hause statt.";"Bei Wechselunterricht muss 2x wöchentlich getestet werden.";"Geschäfte des Einzelhandels dürfen nur mit medizinischer Mund-Nasen-Bedeckung betreten werden.";"Bei einer Inzidenz bis 150 kann man nach Terminvergabe mit Test und Mund-Nasen-Bedeckung shoppen gehen.";"Individualsport bzw. Sport mit max. 2 weiteren Personen oder Personen aus dem eigenen Haushalt ist im Freien erlaubt.";"Kinder bis 14 Jahre dürfen kontaktlos auch sportliche Aktivitäten in Gruppen ausüben.";"Kultur- und Freizeiteinrichtungen bleiben geschlossen.";"Frisör- und Fußpflegetermine können mit Test und Mund-Nasen-Bedeckung wahrgenommen werden.";"Die Gastronomie bleibt geschlossen. Speisen und Getränke können bestellt und abgeholt werden.";"Ein Haushalt trifft sich mit max. einer weiteren Person.";"Zwischen 22 und 5 Uhr herrscht eine Ausgangssperre.";"Individualsport darf auch noch bis 24 Uhr ausgeübt werden.";"Sobald die Inzidenz an drei aufeinanderfolgenden Tagen über 165 steigt, findet der Schulunterricht zu Hause statt.";"Bei Wechselunterricht muss 2x wöchentlich getestet werden.";"Geschäfte des Einzelhandels dürfen nur mit medizinischer Mund-Nasen-Bedeckung betreten werden.";"Bei einer Inzidenz bis 150 kann man nach Terminvergabe mit Test und Mund-Nasen-Bedeckungshoppen gehen.";"Individualsport bzw. Sport mit max. 2 weiteren Personen oder Personen aus dem eigenen Haushalt ist im Freien erlaubt.";"Kinder bis 14 Jahre dürfen kontaktlos auch sportliche Aktivitäten in Gruppen ausüben.";"Kultur- und Freizeiteinrichtungen bleiben geschlossen.";"Frisör- und Fußpflegetermine können mit Test und Mund-Nasen-Bedeckung wahrgenommen werden.";"Die Gastronomie bleibt geschlossen. Speisen und Getränke können bestellt und abgeholt werden.";"Ein Haushalt trifft sich mit max. einer weiteren Person.";"Zwischen 22 und 5 Uhr herrscht eine Ausgangssperre.";"Individualsport darf auch noch bis 24 Uhr ausgeübt werden.";"Sobald die Inzidenz an drei aufeinanderfolgenden Tagen über 165 steigt, findet der Schulunterricht zu Hause statt.";"Bei Wechselunterricht muss 2x wöchentlich getestet werden.";"Geschäfte des Einzelhandels dürfen nur mit medizinischer Mund-Nasen-Bedeckung betreten werden.";"Bei einer Inzidenz bis 150 kann man nach Terminvergabe mit Test und Mund-Nasen-Bedeckungshoppen gehen.";"Individualsport bzw. Sport mit max. 2 weiteren Personen oder Personen aus dem eigenen Haushalt ist im Freien erlaubt.";"Kinder bis 14 Jahre dürfen kontaktlos auch sportliche Aktivitäten in Gruppen ausüben.";"Kultur- und Freizeiteinrichtungen bleiben geschlossen.";"Frisör- und Fußpflegetermine können mit Test und Mund-Nasen-Bedeckung wahrgenommen werden.";"Die Gastronomie bleibt geschlossen. Speisen und Getränke können bestellt und abgeholt werden.";"Ein Haushalt trifft sich mit max. einer weiteren Person.";"Zwischen 22 und 5 Uhr herrscht eine Ausgangssperre.";"Individualsport darf auch noch bis 24 Uhr ausgeübt werden.";"Sobald die Inzidenz an drei aufeinanderfolgenden Tagen über 165 steigt, findet der Schulunterricht zu Hause statt.";"Bei Wechselunterricht muss 2x wöchentlich getestet werden.";"Geschäfte des Einzelhandels dürfen nur mit medizinischer Mund-Nasen-Bedeckung betreten werden.";"Bei einer Inzidenz bis 150 kann man nach Terminvergabe mit Test und Mund-Nasen-Bedeckung shoppen gehen.";"Individualsport bzw. Sport mit max. 2 weiteren Personen oder Personen aus dem eigenen Haushalt ist im Freien erlaubt.";"Kinder bis 14 Jahre dürfen kontaktlos auch sportliche Aktivitäten in Gruppen ausüben.";"Frisör- und Fußpflegetermine können mit Test und Mund-Nasen-Bedeckung wahrgenommen werden.";"ich keine Lust habe.";"ich nicht glaube, dass sie der Eindämmung des Virus dienen.";"sie nicht verhältnismäßig sind.";"meine Freund*innen sich auch nicht daran halten.";"ich meine Freiheitsrechte durch sie eingeschränkt sehe.";"mir die Kapazitäten fehlen, um die Veränderungen der Regelungen zu verfolgen.";"ich mich aufgrund einer Erkrankung nicht bzw. nur eingeschränkt an die Maßnahmen halten kann.";"ich die Regelungen z. B. Zahlengrenzen als willkürlich empfinde.";"es mir psychisch oder physisch nicht gut geht.";"Sonstige und zwar:";"Sonstige und zwar:";"Einfachauswahl mit Icons";"Ich fühle mich überfordert.";"Ich fühle mich körperlich ausgelaugt.";"Ich bin dauerhaft angespannt.";"Ich fürchte weitere coronabedingte Einschränkungen.";"Ich blicke zuversichtlich in die Zukunft.";"Mir fällt es leicht, mich abzulenken.";"Ich denke darüber nach, mich in Therapie zu begeben.";"Infektion";"Impfung";"Seit meiner Impfung fühle ich mich sicherer als zuvor.";"Die aktuellen Einschränkungen sollten nur für Nicht-Geimpfte gelten.";"Es ist überflüssig geworden, sich an die Maßnahmen zu halten.";"Ich habe nichts an meiner Verhaltensweise verändert.";"Zufriedenheit insgesamt";"Meinung zukünftiges Vorgehen";"Alternatives Vorgehen";"Sonstige und zwar:";"Textbereich";"browser-id";"http-referer";"device type";"quota";"quota_assignment";"quota_rejected_id";"page history";"hflip";"vflip";"output mode";"javascript";"flash";"session id";"language";"datacleaning";"absolute timestamp";"datetime of survey start";"date of last access";"date of first mail";"relative timestamp for page 6898876";"relative timestamp for page 6898877";"relative timestamp for page 6898878";"relative timestamp for page 6898880";"relative timestamp for page 6898882";"relative timestamp for page 6904232";"relative timestamp for page 6904234";"relative timestamp for page 6904237";"relative timestamp for page 6904242";"relative timestamp for page 6904243";"relative timestamp for page 6905176";"relative timestamp for page 6905230";"relative timestamp for page 6905237";"relative timestamp for page 6912113"
"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"v_3";"v_4";"v_5";"v_7";"v_14";"v_15";"v_16";"v_17";"v_18";"v_19";"v_20";"v_21";"v_22";"v_23";"v_24";"v_25";"v_132";"v_133";"v_134";"v_135";"v_136";"v_137";"v_138";"v_139";"v_140";"v_141";"v_142";"v_143";"v_149";"v_150";"v_151";"v_152";"v_153";"v_154";"v_155";"v_156";"v_157";"v_158";"v_159";"v_160";"v_197";"v_198";"v_199";"v_200";"v_201";"v_202";"v_203";"v_204";"v_205";"v_206";"v_115";"v_116";"v_117";"v_118";"v_119";"v_123";"v_124";"v_125";"v_173";"v_121";"v_122";"v_174";"v_166";"v_167";"v_168";"v_169";"v_170";"v_171";"v_172";"v_175";"v_176";"v_177";"v_178";"v_179";"v_180";"v_164";"v_161";"v_163";"v_165";"v_196";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6898876";"rts6898877";"rts6898878";"rts6898880";"rts6898882";"rts6904232";"rts6904234";"rts6904237";"rts6904242";"rts6904243";"rts6905176";"rts6905230";"rts6905237";"rts6912113"
"38";"0";"Kein Tester";"Beendet (31)";"6898888";"Null";"610";"männlich";"1957";"Masterabschluss";"Nordrhein-Westfalen";"quoted";"quoted";"quoted";"not quoted";"not quoted";"quoted";"not quoted";"quoted";"not quoted";"quoted";"quoted";"quoted";"weniger effektiv";"relativ effektiv";"Neutral";"Null";"Null";"relativ effektiv";"Null";"Neutral";"Null";"Sehr effektiv";"Neutral";"relativ effektiv";"4";"Genau richtig";"Genau richtig";"Null";"Null";"Genau richtig";"Null";"Genau richtig";"Null";"Genau richtig";"Genau richtig";"Genau richtig";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Nein";"Ja";"teils-teils";"stimme eher zu";"stimme nicht zu";"stimme nicht zu";"neutral";"Ja";"Null";"Null";"Null";"Mozilla/5.0 (Android 10; Mobile; rv:89.0) Gecko/89.0 Firefox/89.0";"Null";"0";"0";"Null";"0";"6898876,6898877,6898878,6904232,6904243,6898880,6898881,6904237,6905236,6905237,6904242,6905174,6912113,6898888";"Geflippt";"Nicht geflipped";"HTML";"Null";"Null";"c030d9511ed9c6f9ad88ed0b7b99bf33";"Deutsch";"Nicht bereinigt";"1623925999";"2021-06-17 10:33:19";"2021-06-17 10:43:29";"0000-00-00 00:00:00";"22";"60";"139";"516";"0";"245";"0";"525";"605";"346";"0";"0";"584";"610"
"39";"0";"Kein Tester";"Beendet nach Unterbrechung (32)";"6898888";"Null";"-1";"weiblich";"1966";"Allgemeine Hochschulreife / Abitur";"Nordrhein-Westfalen";"quoted";"quoted";"quoted";"not quoted";"quoted";"quoted";"not quoted";"not quoted";"not quoted";"quoted";"not quoted";"quoted";"Gar nicht effektiv";"relativ effektiv";"weniger effektiv";"Null";"Gar nicht effektiv";"relativ effektiv";"Null";"Null";"Null";"Neutral";"Null";"Gar nicht effektiv";"Zu strikt";"Zu strikt";"Zu strikt";"Null";"Zu strikt";"Genau richtig";"Null";"Null";"Null";"Zu strikt";"Null";"Zu strikt";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Nein";"Ja";"stimme nicht zu";"stimme nicht zu";"teils-teils";"stimme zu";"2";"Nein";"Sonstige und zwar:";"Eigenverantwortung wie in Schweden ";"Null";"Mozilla/5.0 (Linux; Android 10; POT-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Mobile Safari/537.36";"Null";"0";"0";"Null";"0";"6898876,6898877,6898878,6904232,6904232,6904232,6904243,6898880,6898881,6904237,6905236,6905237,6904242,6905174,6905176,6912113,6898888";"Geflippt";"Nicht geflipped";"HTML";"Null";"Null";"f2790fff6bdff0ffd3ba129171086519";"Deutsch";"Nicht bereinigt";"1623926067";"2021-06-17 10:34:27";"2021-06-17 19:56:33";"0000-00-00 00:00:00";"34";"65";"124";"33593";"0";"33473";"0";"33601";"33654";"33525";"33719";"0";"33635";"33726"
"40";"0";"Kein Tester";"Beendet (31)";"6898888";"Null";"311";"männlich";"1990";"Allgemeine Hochschulreife / Abitur";"Nordrhein-Westfalen";"quoted";"quoted";"quoted";"quoted";"not quoted";"quoted";"not quoted";"quoted";"not quoted";"quoted";"quoted";"quoted";"Sehr effektiv";"0";"Neutral";"Sehr effektiv";"Null";"Sehr effektiv";"Null";"Neutral";"Null";"relativ effektiv";"Gar nicht effektiv";"relativ effektiv";"Genau richtig";"2";"2";"2";"Null";"Genau richtig";"Null";"2";"Null";"Genau richtig";"Zu locker";"Genau richtig";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"0";"0";"Null";"Null";"Null";"Null";"2";"0";"Null";"Null";"Null";"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1";"Null";"0";"0";"Null";"0";"6898876,6898877,6898878,6904232,6904243,6898880,6898881,6904237,6905236,6904242,6905174,6912113,6898888";"Nicht geflipped";"Nicht geflipped";"HTML";"Null";"Null";"814fd79874dc9dffe629eea36bd5f59d";"Deutsch";"Nicht bereinigt";"1623926141";"2021-06-17 10:35:41";"2021-06-17 10:40:52";"0000-00-00 00:00:00";"28";"53";"116";"289";"0";"191";"0";"295";"308";"249";"0";"0";"0";"311"
"41";"0";"Kein Tester";"Beendet (31)";"6898888";"Null";"177";"weiblich";"1996";"Allgemeine Hochschulreife / Abitur";"Nordrhein-Westfalen";"quoted";"quoted";"quoted";"quoted";"quoted";"quoted";"quoted";"quoted";"quoted";"quoted";"quoted";"quoted";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Nein";"Nein";"Null";"Null";"Null";"Null";"neutral";"Ja";"Null";"Null";"Gerne weniger Text auf eine Frage-Seite.";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36 OPR/76.0.4017.177";"Null";"0";"0";"Null";"0";"6898876,6898877,6898878,6904232,6904243,6898880,6898881,6904237,6905236,6904242,6905174,6912113,6898888";"Nicht geflipped";"Nicht geflipped";"HTML";"Null";"Null";"a1cd71dc88c0298b97259964cc7f278d";"Deutsch";"Nicht bereinigt";"1623926167";"2021-06-17 10:36:07";"2021-06-17 10:39:04";"0000-00-00 00:00:00";"7";"34";"101";"114";"0";"108";"0";"119";"128";"111";"0";"0";"0";"177"
"42";"0";"Kein Tester";"Beendet (31)";"6898888";"Null";"442";"männlich";"1996";"Bachelorabschluss";"Nordrhein-Westfalen";"quoted";"quoted";"quoted";"not quoted";"quoted";"quoted";"quoted";"quoted";"not quoted";"quoted";"quoted";"quoted";"weniger effektiv";"Gar nicht effektiv";"Gar nicht effektiv";"Null";"relativ effektiv";"relativ effektiv";"Neutral";"weniger effektiv";"Null";"Gar nicht effektiv";"weniger effektiv";"weniger effektiv";"Zu strikt";"Zu strikt";"Zu strikt";"Null";"2";"Genau richtig";"Genau richtig";"Zu strikt";"Null";"Zu strikt";"2";"2";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Nein";"Ja";"stimme eher zu";"stimme zu";"teils-teils";"teils-teils";"neutral";"Nein";"Keinen Lockdown (Bsp.: USA, Brasilien)";"Null";"Null";"Mozilla/5.0 (Linux; Android 8.0.0; FIG-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36";"Null";"0";"0";"Null";"0";"6898876,6898877,6898878,6904232,6904243,6898880,6898881,6904237,6905236,6905237,6904242,6905174,6905176,6912113,6898888";"Geflippt";"Geflippt";"HTML";"Null";"Null";"7cfe69d5ec4ad6a41071ac9fcf7e66f2";"Deutsch";"Nicht bereinigt";"1623926834";"2021-06-17 10:47:14";"2021-06-17 10:54:36";"0000-00-00 00:00:00";"18";"40";"109";"342";"0";"175";"0";"350";"402";"227";"416";"0";"384";"442"
"43";"0";"Kein Tester";"Beendet (31)";"6898888";"Null";"360";"weiblich";"1997";"Bachelorabschluss";"Nordrhein-Westfalen";"quoted";"quoted";"quoted";"not quoted";"not quoted";"quoted";"quoted";"quoted";"not quoted";"quoted";"quoted";"quoted";"relativ effektiv";"Neutral";"weniger effektiv";"Null";"Null";"Sehr effektiv";"relativ effektiv";"relativ effektiv";"Null";"Neutral";"relativ effektiv";"relativ effektiv";"Zu strikt";"Zu strikt";"Zu strikt";"Null";"Null";"Genau richtig";"Genau richtig";"Genau richtig";"Null";"Genau richtig";"4";"Genau richtig";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Nein";"Ja";"stimme zu";"teils-teils";"stimme nicht zu";"teils-teils";"2";"Ja";"Null";"Null";"Null";"Mozilla/5.0 (Linux; Android 11; Mi Note 10 Lite) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Mobile Safari/537.36";"Null";"0";"0";"Null";"0";"6898876,6898877,6898878,6904232,6904243,6898880,6898881,6904237,6905236,6905237,6904242,6905174,6912113,6898888";"Geflippt";"Nicht geflipped";"HTML";"Null";"Null";"1e5cae9ef008ac375095ea8bbda914a5";"Deutsch";"Nicht bereinigt";"1623927103";"2021-06-17 10:51:43";"2021-06-17 10:57:43";"0000-00-00 00:00:00";"6";"22";"82";"317";"0";"204";"0";"326";"358";"275";"0";"0";"347";"360"
"44";"0";"Kein Tester";"Beendet (31)";"6898888";"Null";"292";"weiblich";"1999";"Fachhochschulreife";"Nordrhein-Westfalen";"not quoted";"quoted";"not quoted";"not quoted";"not quoted";"quoted";"not quoted";"not quoted";"not quoted";"quoted";"quoted";"quoted";"Null";"Neutral";"Null";"Null";"Null";"Sehr effektiv";"Null";"Null";"Null";"Neutral";"relativ effektiv";"Neutral";"Null";"Zu strikt";"Null";"Null";"Null";"Genau richtig";"Null";"Null";"Null";"2";"Genau richtig";"2";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Nein";"Nein";"Null";"Null";"Null";"Null";"sehr unzufrieden";"Nein";"Kurzen, strikten Lockdown (Bsp.: China, Australien)";"Null";"Null";"Mozilla/5.0 (iPhone; CPU iPhone OS 14_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1";"Null";"0";"0";"Null";"0";"6898876,6898877,6898878,6904232,6904243,6898880,6898881,6904237,6905236,6904242,6905174,6905176,6912113,6898888";"Geflippt";"Geflippt";"HTML";"Null";"Null";"288af40f795e98dd6cf29c620c22a1f1";"Deutsch";"Nicht bereinigt";"1623928018";"2021-06-17 11:06:58";"2021-06-17 11:11:50";"0000-00-00 00:00:00";"12";"30";"85";"245";"0";"128";"0";"253";"263";"158";"280";"0";"0";"292"
"46";"0";"Kein Tester";"Beendet (31)";"6898888";"Null";"468";"weiblich";"2000";"Allgemeine Hochschulreife / Abitur";"Nordrhein-Westfalen";"quoted";"quoted";"quoted";"not quoted";"not quoted";"not quoted";"not quoted";"not quoted";"not quoted";"not quoted";"quoted";"quoted";"relativ effektiv";"weniger effektiv";"Gar nicht effektiv";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"relativ effektiv";"relativ effektiv";"2";"Zu strikt";"Zu strikt";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Genau richtig";"2";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Nein";"Ja";"stimme zu";"stimme eher zu";"stimme eher nicht zu";"stimme eher nicht zu";"neutral";"Nein";"Kurzen, strikten Lockdown (Bsp.: China, Australien)";"Null";"Null";"Mozilla/5.0 (Linux; U; Android 10; de-de; Redmi 8 Build/QKQ1.191014.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/79.0.3945.147 Mobile Safari/537.36 XiaoMi/MiuiBrowser/12.10.8-gn";"Null";"0";"0";"Null";"0";"6898876,6898877,6898878,6904232,6904243,6898880,6898881,6904237,6905236,6905237,6904242,6905174,6905176,6912113,6898888";"Geflippt";"Geflippt";"HTML";"Null";"Null";"7dc7937a64fb7b23f2709b02f128ec30";"Deutsch";"Nicht bereinigt";"1623929832";"2021-06-17 11:37:12";"2021-06-17 11:45:00";"0000-00-00 00:00:00";"54";"75";"145";"382";"0";"195";"0";"392";"441";"232";"466";"0";"418";"468"
